type,ent_ts,ent_px,qty,sl,tp,ent_idx,scale,exit_px,exit_ts,reason,pnl,equity
long,2023-10-12 11:34:00-04:00,15420.75,2.7,15366.0,15466.5,485803,2.7,15409.25,2023-10-12 11:35:00-04:00,VWAP,-628.398,277605.0259999998
long,2023-10-16 10:16:00-04:00,15261.75,2.7,15168.75,15351.25,488485,2.7,15258.0,2023-10-16 12:03:00-04:00,VWAP,-209.898,277395.1279999998
long,2023-10-16 12:04:00-04:00,15265.25,2.7,15168.75,15351.25,488593,2.7,15241.75,2023-10-16 13:20:00-04:00,VWAP,-1276.398,276118.7299999998
long,2023-10-16 13:28:00-04:00,15265.75,2.7,15168.75,15351.25,488677,2.7,15316.75,2023-10-16 14:59:00-04:00,EOD,2746.6020000000003,278865.3319999998
short,2023-10-18 12:01:00-04:00,15116.75,2.7,15198.75,15052.25,491350,2.7,15167.5,2023-10-18 12:04:00-04:00,VWAP,-2747.898,276117.4339999998
short,2023-10-18 13:02:00-04:00,15120.75,2.7,15198.75,15052.25,491411,2.7,15136.25,2023-10-18 13:04:00-04:00,5m,-844.398,275273.0359999998
short,2023-10-18 13:32:00-04:00,15119.25,2.7,15198.75,15052.25,491441,2.7,15052.25,2023-10-18 14:51:00-04:00,TP,3610.602,278883.6379999998
short,2023-10-19 13:36:00-04:00,15015.5,2.7,15109.0,14933.5,492825,2.7,14933.5,2023-10-19 14:33:00-04:00,TP,4420.602,283304.23999999976
long,2023-10-24 10:36:00-04:00,14842.25,2.8,14763.0,14913.0,496785,2.8,14801.25,2023-10-24 11:21:00-04:00,VWAP,-2303.672,281000.5679999998
short,2023-10-25 10:00:00-04:00,14619.0,2.8,14749.25,14503.75,498129,2.8,14656.75,2023-10-25 10:39:00-04:00,VWAP,-2121.672,278878.8959999998
short,2023-10-25 11:26:00-04:00,14624.25,2.7,14749.25,14503.75,498215,2.7,14637.25,2023-10-25 11:29:00-04:00,5m,-709.398,278169.4979999998
long,2023-10-27 11:11:00-04:00,14354.25,2.7,14302.0,14396.5,500960,2.7,14396.5,2023-10-27 11:16:00-04:00,TP,2274.102,280443.59999999974
long,2023-10-27 11:47:00-04:00,14355.25,2.8,14302.0,14396.5,500996,2.8,14353.75,2023-10-27 11:49:00-04:00,5m,-91.67199999999998,280351.9279999998
long,2023-10-27 12:15:00-04:00,14356.25,2.8,14302.0,14396.5,501024,2.8,14330.0,2023-10-27 12:26:00-04:00,VWAP,-1477.672,278874.25599999976
long,2023-10-27 12:37:00-04:00,14351.0,2.7,14302.0,14396.5,501046,2.7,14337.25,2023-10-27 12:42:00-04:00,VWAP,-749.898,278124.3579999998
long,2023-10-30 10:00:00-04:00,14437.75,2.7,14334.75,14540.25,502269,2.7,14422.25,2023-10-30 10:03:00-04:00,VWAP,-844.398,277279.95999999973
long,2023-10-30 10:07:00-04:00,14439.5,2.7,14334.75,14540.25,502276,2.7,14409.75,2023-10-30 10:11:00-04:00,VWAP,-1613.898,275666.06199999974
short,2023-10-30 11:22:00-04:00,14332.75,2.7,14437.5,14232.0,502351,2.7,14386.75,2023-10-30 11:52:00-04:00,VWAP,-2923.398,272742.66399999976
short,2023-10-30 12:43:00-04:00,14322.5,2.7,14437.5,14232.0,502432,2.7,14378.5,2023-10-30 13:26:00-04:00,VWAP,-3031.3980000000006,269711.26599999977
long,2023-10-31 12:42:00-04:00,14435.75,2.6,14326.75,14530.75,503811,2.6,14484.5,2023-10-31 14:59:00-04:00,EOD,2527.876,272239.14199999976
